epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.2237,3.03535,3.58605,3.97885,0.01208,0.06007,0.00656,0.0016,2.75903,4.20324,4.16734,0.0700508,0.00332768,0.00332768
2,122.997,2.99953,3.27452,3.535,0.01858,0.09232,0.01279,0.00306,2.75275,3.54098,3.37439,0.0399849,0.00659507,0.00659507
3,170.663,2.32842,2.88991,2.81745,0.14398,0.23461,0.08039,0.01927,2.3937,3.53036,3.24251,0.00985296,0.00979646,0.00979646
4,217.543,1.94776,2.49413,2.4203,0.23635,0.2792,0.18552,0.06037,2.1452,2.68606,2.78636,0.009703,0.009703,0.009703
5,264.254,1.78881,2.29078,2.25144,0.31691,0.33593,0.24537,0.08254,1.99444,2.62485,2.57922,0.009604,0.009604,0.009604
6,310.512,1.69534,2.17018,2.16215,0.33267,0.39759,0.28444,0.08948,2.06333,2.38342,2.63027,0.009505,0.009505,0.009505
7,357.26,1.62788,2.10042,2.10553,0.42204,0.45384,0.40989,0.15022,1.95603,2.17007,2.51525,0.009406,0.009406,0.009406
8,403.875,1.59592,2.04257,2.07262,0.4676,0.49944,0.45605,0.17004,1.9162,2.07209,2.45755,0.009307,0.009307,0.009307
9,451.491,1.5598,1.97454,2.0363,0.4587,0.49166,0.44126,0.17882,1.85051,1.95633,2.3447,0.009208,0.009208,0.009208
10,497.447,1.5249,1.93535,2.01425,0.47906,0.55238,0.48225,0.19823,1.80709,1.88584,2.33317,0.009109,0.009109,0.009109
11,544.163,1.50579,1.90179,1.99062,0.56709,0.58176,0.56101,0.21464,1.89765,1.80977,2.38873,0.00901,0.00901,0.00901
12,590.403,1.48457,1.8642,1.97386,0.49357,0.56048,0.52077,0.22273,1.7844,1.77339,2.29804,0.008911,0.008911,0.008911
13,637.144,1.46184,1.84169,1.95496,0.58177,0.53726,0.54757,0.22394,1.85224,1.77833,2.35441,0.008812,0.008812,0.008812
14,683.704,1.44118,1.79805,1.94324,0.55257,0.52503,0.55898,0.24317,1.75893,1.73602,2.23119,0.008713,0.008713,0.008713
15,731.555,1.42578,1.78537,1.92796,0.59913,0.62625,0.61681,0.25172,1.8888,1.62071,2.35202,0.008614,0.008614,0.008614
16,779.23,1.40994,1.74481,1.90333,0.6274,0.59187,0.62331,0.26895,1.82899,1.60084,2.28309,0.008515,0.008515,0.008515
17,825.996,1.40807,1.73735,1.90444,0.63961,0.61397,0.65468,0.27829,1.79685,1.55954,2.24534,0.008416,0.008416,0.008416
18,872.835,1.37799,1.69887,1.88392,0.65771,0.6218,0.65144,0.27841,1.84171,1.51635,2.27978,0.008317,0.008317,0.008317
19,918.339,1.37372,1.67793,1.87212,0.67942,0.63515,0.67634,0.30697,1.72819,1.48237,2.19645,0.008218,0.008218,0.008218
20,964.954,1.35694,1.64137,1.85768,0.69327,0.65406,0.70703,0.32137,1.76641,1.41139,2.2175,0.008119,0.008119,0.008119
21,1011.64,1.36487,1.63909,1.8547,0.62276,0.61624,0.62238,0.28003,1.82746,1.49476,2.29534,0.00802,0.00802,0.00802
22,1057.79,1.34723,1.61774,1.8511,0.63543,0.68632,0.68636,0.31107,1.77212,1.41832,2.24904,0.007921,0.007921,0.007921
23,1103.47,1.33471,1.58473,1.82947,0.68427,0.68632,0.70442,0.32661,1.74719,1.3537,2.18391,0.007822,0.007822,0.007822
24,1150.02,1.32518,1.57133,1.82151,0.74145,0.6348,0.7205,0.33581,1.73104,1.38321,2.17035,0.007723,0.007723,0.007723
25,1196.81,1.32522,1.56588,1.81385,0.7082,0.69921,0.74212,0.34924,1.72307,1.32158,2.1424,0.007624,0.007624,0.007624
26,1242.74,1.31729,1.5488,1.81094,0.72368,0.70857,0.75482,0.3518,1.72086,1.30603,2.16169,0.007525,0.007525,0.007525
27,1289.4,1.31686,1.52119,1.79902,0.68887,0.72414,0.73312,0.34696,1.71897,1.29441,2.159,0.007426,0.007426,0.007426
28,1335.53,1.30153,1.51249,1.79271,0.72603,0.703,0.75828,0.36729,1.65818,1.26597,2.09611,0.007327,0.007327,0.007327
29,1382.38,1.28924,1.49903,1.78734,0.72066,0.73751,0.76795,0.37781,1.66647,1.24769,2.07577,0.007228,0.007228,0.007228
30,1428.43,1.29241,1.48138,1.78278,0.72937,0.72636,0.75616,0.37643,1.67102,1.22183,2.08649,0.007129,0.007129,0.007129
31,1475,1.28127,1.4809,1.77061,0.75383,0.71301,0.77496,0.38183,1.6335,1.21129,2.0632,0.00703,0.00703,0.00703
32,1520.98,1.27544,1.46358,1.76447,0.75654,0.72935,0.7809,0.38394,1.65492,1.18231,2.05125,0.006931,0.006931,0.006931
33,1567.58,1.26667,1.45966,1.75814,0.74426,0.73415,0.77771,0.39878,1.61424,1.19937,2.0349,0.006832,0.006832,0.006832
34,1615.08,1.27222,1.44343,1.75604,0.74008,0.72528,0.7754,0.40034,1.56486,1.19041,2.00147,0.006733,0.006733,0.006733
35,1662.32,1.2468,1.4228,1.74206,0.75469,0.71746,0.78573,0.4054,1.57648,1.16677,2.00332,0.006634,0.006634,0.006634
36,1709.11,1.25234,1.4178,1.74275,0.77024,0.74207,0.79368,0.41279,1.52994,1.16229,1.95817,0.006535,0.006535,0.006535
37,1755.57,1.24957,1.41234,1.73346,0.74876,0.75083,0.79748,0.41477,1.59073,1.12808,1.99762,0.006436,0.006436,0.006436
38,1802.35,1.23859,1.39629,1.72864,0.75386,0.76974,0.80535,0.41957,1.57712,1.12261,1.98026,0.006337,0.006337,0.006337
39,1847.45,1.23914,1.39822,1.7281,0.75325,0.74305,0.78698,0.41846,1.55699,1.10203,1.96472,0.006238,0.006238,0.006238
40,1893.71,1.23015,1.37117,1.72332,0.79323,0.72971,0.81439,0.4445,1.4953,1.08634,1.91103,0.006139,0.006139,0.006139
41,1940.84,1.2161,1.35005,1.70776,0.76583,0.77197,0.81791,0.43374,1.5302,1.09345,1.95063,0.00604,0.00604,0.00604
42,1987.65,1.22301,1.34894,1.70891,0.77754,0.76085,0.80707,0.43168,1.56501,1.06031,1.97389,0.005941,0.005941,0.005941
