epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,177.582,2.41062,2.91807,2.95178,0.10695,0.23471,0.06193,0.01552,2.52629,3.50021,3.28159,0.0700508,0.00332768,0.00332768
2,333.628,1.97989,2.484,2.49197,0.20555,0.2703,0.14337,0.04302,2.23436,2.8533,2.97643,0.0400289,0.00663904,0.00663904
3,488.524,1.83122,2.41664,2.37743,0.20556,0.24027,0.13929,0.04481,2.18712,2.84799,2.99309,0.00998488,0.00992839,0.00992839
4,642.847,1.74344,2.3435,2.29862,0.30348,0.29588,0.21847,0.07035,2.16062,2.64317,2.83716,0.009901,0.009901,0.009901
5,797.193,1.68222,2.2739,2.24348,0.28197,0.2525,0.21644,0.07323,2.04986,2.50128,2.65124,0.009868,0.009868,0.009868
6,951.517,1.65323,2.21505,2.20885,0.38539,0.35706,0.31102,0.10846,1.96614,2.33401,2.55914,0.009835,0.009835,0.009835
7,1106.08,1.63535,2.20951,2.19474,0.32564,0.35039,0.2463,0.07908,2.04407,2.41417,2.65391,0.009802,0.009802,0.009802
8,1260.3,1.62264,2.18866,2.16891,0.34295,0.37486,0.27312,0.07467,2.25584,2.55263,3.07067,0.009769,0.009769,0.009769
9,1414.7,1.60655,2.13628,2.15365,0.39461,0.42492,0.34113,0.12458,1.9189,2.2209,2.51915,0.009736,0.009736,0.009736
10,1569.06,1.57818,2.12503,2.13596,0.38982,0.39377,0.33593,0.11819,1.92221,2.32503,2.56454,0.009703,0.009703,0.009703
11,1723.44,1.57663,2.11288,2.11451,0.32179,0.4416,0.30429,0.10627,1.92448,2.2025,2.54065,0.00967,0.00967,0.00967
12,1877.66,1.56531,2.06965,2.10774,0.37385,0.39933,0.33672,0.12716,1.9695,2.21738,2.58411,0.009637,0.009637,0.009637
13,2032.14,1.55863,2.06827,2.09801,0.45728,0.41602,0.40355,0.14799,1.93875,2.13198,2.56928,0.009604,0.009604,0.009604
14,2186.46,1.55583,2.03228,2.09213,0.43388,0.46274,0.41219,0.15905,1.95866,2.15942,2.57749,0.009571,0.009571,0.009571
15,2340.87,1.53792,2.01071,2.07966,0.41457,0.45717,0.38797,0.13011,2.09353,2.03611,2.77414,0.009538,0.009538,0.009538
16,2494.88,1.53458,1.9923,2.07918,0.49727,0.47497,0.46882,0.1761,1.8784,2.04079,2.4627,0.009505,0.009505,0.009505
